gameNo,team,oppTeam,matchStage,tossResult,alloutRec,alloutGiv,sTackleRec,sTackleGiv,touchPntsRec,touchPntsGiv,bonusPntsRec,bonusPntsGiv,raidPntsRec,raidPntsGiv,tacklePntsRec,tacklePntsGiv,alloutPntsRec,alloutPntsGiv,extraPntsRec,extraPntsGiv,totalPntsRec,totalPntsGiv,touchPntsDiff,bonusPntsDiff,raidPntsDiff,tacklePntsDiff,alloutPntsDiff,extraPntsDiff,totalPntsDiff,matchResult
1,IND,KOR,0,0,1,1,1,2,12,12,5,8,17,20,10,11,2,2,3,1,32,34,0,-3,-3,-1,0,2,-2,0
2,KOR,IND,0,1,1,1,2,1,12,12,8,5,20,17,11,10,2,2,1,3,34,32,0,3,3,1,0,-2,2,1
3,USA,IRN,0,1,0,4,0,0,11,22,2,5,13,27,1,12,0,8,1,5,15,52,-11,-3,-14,-11,-8,-4,-37,0
4,IRN,USA,0,0,4,0,0,0,22,11,5,2,27,13,12,1,8,0,5,1,52,15,11,3,14,11,8,4,37,1
5,ENG,BAN,0,1,0,3,1,0,11,26,2,8,13,34,5,9,0,6,0,3,18,52,-15,-6,-21,-4,-6,-3,-34,0
6,BAN,ENG,0,0,3,0,0,0,26,11,8,2,34,13,9,5,6,0,3,0,52,18,15,6,21,4,6,3,34,1
7,POL,KEN,0,0,1,2,0,2,27,26,10,6,37,32,5,16,2,4,4,2,48,54,1,4,5,-11,-2,2,-6,0
8,KEN,POL,0,1,2,1,0,0,26,27,6,10,32,37,16,5,4,2,2,4,54,48,-1,-4,-5,11,2,-2,6,1
9,IND,AUS,0,1,4,0,0,0,25,11,10,9,35,20,10,0,8,0,1,0,54,20,14,1,15,10,8,1,34,1
10,AUS,IND,0,0,0,4,0,0,11,25,9,10,20,35,0,10,0,8,0,1,20,54,-14,-1,-15,-10,-8,-1,-34,0
11,KOR,ARG,0,0,5,2,2,0,32,22,4,7,36,29,16,9,10,4,6,0,68,42,10,-3,7,7,6,6,26,1
12,ARG,KOR,0,1,2,5,0,0,22,32,7,4,29,36,9,16,4,10,0,6,42,68,-10,3,-7,-7,-6,-6,-26,0
13,USA,JPN,0,1,0,3,0,0,7,16,9,6,16,22,1,13,0,6,2,4,19,45,-9,3,-6,-12,-6,-2,-26,0
14,JPN,USA,0,0,3,0,0,0,16,7,6,9,22,16,13,1,6,0,4,2,45,19,9,-3,6,12,6,2,26,1
15,THA,IRN,0,0,1,6,1,0,14,27,4,3,18,30,2,21,2,12,1,1,23,64,-13,1,-12,-19,-10,0,-41,0
16,IRN,THA,0,1,6,1,0,0,27,14,3,4,30,18,21,2,12,2,1,1,64,23,13,-1,12,19,10,0,41,1
17,ENG,AUS,0,1,5,0,0,0,37,11,6,8,43,19,12,5,10,0,4,1,69,25,26,-2,24,7,10,3,44,1
18,AUS,ENG,0,0,0,5,0,0,11,37,8,6,19,43,5,12,0,10,1,4,25,69,-26,2,-24,-7,-10,-3,-44,0
19,THA,POL,0,1,5,1,0,0,25,13,6,5,31,18,19,5,10,2,5,0,65,25,12,1,13,14,8,5,40,1
20,POL,THA,0,0,1,5,0,0,13,25,5,6,18,31,5,19,2,10,0,5,25,65,-12,-1,-13,-14,-8,-5,-40,0
21,IRN,KEN,0,1,1,0,0,2,14,7,2,5,16,12,13,11,2,0,2,5,33,28,7,-3,4,2,2,-3,5,1
22,KEN,IRN,0,0,0,1,0,0,7,14,5,2,12,16,11,13,0,2,5,2,28,33,-7,3,-4,-2,-2,3,-5,0
23,IND,BAN,0,1,4,0,0,0,22,8,6,4,28,12,20,7,8,0,1,1,57,20,14,2,16,13,8,0,37,1
24,BAN,IND,0,0,0,4,0,0,8,22,4,6,12,28,7,20,0,8,1,1,20,57,-14,-2,-16,-13,-8,0,-37,0
25,POL,JPN,0,0,0,1,0,0,15,13,3,4,18,17,2,12,0,2,2,2,22,33,2,-1,1,-10,-2,0,-11,0
26,JPN,POL,0,1,1,0,0,0,13,15,4,3,17,18,12,2,2,0,2,2,33,22,-2,1,-1,10,2,0,11,1
27,AUS,ARG,0,1,4,0,1,1,29,18,5,9,34,27,20,12,8,0,6,6,68,45,11,-4,7,8,8,0,23,1
28,ARG,AUS,0,0,0,4,0,0,18,29,9,5,27,34,12,20,0,8,6,6,45,68,-11,4,-7,-8,-8,0,-23,0
29,THA,KEN,0,1,4,0,0,1,25,6,6,10,31,16,11,5,8,0,3,0,53,21,19,-4,15,6,8,3,32,1
30,KEN,THA,0,0,0,4,0,0,6,25,10,6,16,31,5,11,0,8,0,3,21,53,-19,4,-15,-6,-8,-3,-32,0
31,BAN,KOR,0,1,2,2,0,0,13,16,1,6,14,22,11,6,4,4,3,3,32,35,-3,-5,-8,5,0,0,-3,0
32,KOR,BAN,0,0,2,2,0,0,16,13,6,1,22,14,6,11,4,4,3,3,35,32,3,5,8,-5,0,0,3,1
33,ENG,ARG,0,0,5,0,0,2,32,15,8,6,40,21,16,7,10,0,2,0,68,28,17,2,19,9,10,2,40,1
34,ARG,ENG,0,1,0,5,0,0,15,32,6,8,21,40,7,16,0,10,0,2,28,68,-17,-2,-19,-9,-10,-2,-40,0
35,USA,POL,0,0,0,6,3,1,11,28,1,7,12,35,16,20,0,12,1,8,29,75,-17,-6,-23,-4,-12,-7,-46,0
36,POL,USA,0,1,6,0,1,3,28,11,7,1,35,12,20,16,12,0,8,1,75,29,17,6,23,4,12,7,46,1
37,KOR,AUS,0,1,4,0,2,1,30,10,6,4,36,14,14,9,8,0,5,2,63,25,20,2,22,5,8,3,38,1
38,AUS,KOR,0,0,0,4,1,2,10,30,4,6,14,36,9,14,0,8,2,5,25,63,-20,-2,-22,-5,-8,-3,-38,0
39,IRN,JPN,0,1,2,1,0,0,21,18,2,6,23,24,10,6,4,2,1,2,38,34,3,-4,-1,4,2,-1,4,1
40,JPN,IRN,0,0,1,2,0,0,18,21,6,2,24,23,6,10,2,4,2,1,34,38,-3,4,1,-4,-2,1,-4,0
41,IND,ARG,0,0,6,0,0,1,27,10,10,6,37,16,24,3,12,0,1,1,74,20,17,4,21,21,12,0,54,1
42,ARG,IND,0,1,0,6,1,0,10,27,6,10,16,37,3,24,0,12,1,1,20,74,-17,-4,-21,-21,-12,0,-54,0
43,THA,USA,0,1,5,0,0,1,26,3,16,12,42,15,13,7,10,0,4,0,69,22,23,4,27,6,10,4,47,1
44,USA,THA,0,0,0,5,1,0,3,26,12,16,15,42,7,13,0,10,0,4,22,69,-23,-4,-27,-6,-10,-4,-47,0
45,KOR,ENG,0,1,4,0,0,3,25,3,6,3,31,6,16,11,8,0,1,0,56,17,22,3,25,5,8,1,39,1
46,ENG,KOR,0,0,0,4,3,0,3,25,3,6,6,31,11,16,0,8,0,1,17,56,-22,-3,-25,-5,-8,-1,-39,0
47,JPN,KEN,0,1,0,2,2,9,9,12,3,2,12,14,13,28,0,4,2,2,27,48,-3,1,-2,-15,-4,0,-21,0
48,KEN,JPN,0,0,2,0,9,2,12,9,2,3,14,12,28,13,4,0,2,2,48,27,3,-1,2,15,4,0,21,1
49,POL,IRN,0,0,2,0,0,1,23,16,5,1,28,17,8,7,4,0,1,1,41,25,7,4,11,1,4,0,16,1
50,IRN,POL,0,1,0,2,1,0,16,23,1,5,17,28,7,8,0,4,1,1,25,41,-7,-4,-11,-1,-4,0,-16,0
51,AUS,BAN,0,0,0,7,0,0,1,34,0,9,1,43,3,18,0,14,4,5,8,80,-33,-9,-42,-15,-14,-1,-72,0
52,BAN,AUS,0,1,7,0,0,0,34,1,9,0,43,1,18,3,14,0,5,4,80,8,33,9,42,15,14,1,72,1
53,USA,KEN,0,0,0,6,0,3,11,26,2,6,13,32,5,23,0,12,1,7,19,74,-15,-4,-19,-18,-12,-6,-55,0
54,KEN,USA,0,1,6,0,3,0,26,11,6,2,32,13,23,5,12,0,7,1,74,19,15,4,19,18,12,6,55,1
55,IND,ENG,0,0,5,0,0,0,31,14,12,3,43,17,12,1,10,0,4,0,69,18,17,9,26,11,10,4,51,1
56,ENG,IND,0,1,0,5,0,0,14,31,3,12,17,43,1,12,0,10,0,4,18,69,-17,-9,-26,-11,-10,-4,-51,0
57,BAN,ARG,0,0,4,0,0,0,37,19,5,4,42,23,14,2,8,0,3,1,67,26,18,1,19,12,8,2,41,1
58,ARG,BAN,0,1,0,4,0,0,19,37,4,5,23,42,2,14,0,8,1,3,26,67,-18,-1,-19,-12,-8,-2,-41,0
59,THA,JPN,0,1,1,1,2,3,15,8,3,4,18,12,11,17,2,2,6,2,37,33,7,-1,6,-6,0,4,4,1
60,JPN,THA,0,0,1,1,3,2,8,15,4,3,12,18,17,11,2,2,2,6,33,37,-7,1,-6,6,0,-4,-4,0
61,KOR,IRN,1,1,1,1,1,0,6,9,2,3,8,12,6,11,2,2,6,3,22,28,-3,-1,-4,-5,0,3,-6,0
62,IRN,KOR,1,0,1,1,0,1,9,6,3,2,12,8,11,6,2,2,3,6,28,22,3,1,4,5,0,-3,6,1
63,IND,THA,1,1,6,0,0,0,37,11,5,4,42,15,18,4,12,0,1,1,73,20,26,1,27,14,12,0,53,1
64,THA,IND,1,0,0,6,0,0,11,37,4,5,15,42,4,18,0,12,1,1,20,73,-26,-1,-27,-14,-12,0,-53,0
65,IND,IRN,2,0,2,1,1,1,16,11,6,5,22,16,8,9,4,2,4,2,38,29,5,1,6,-1,2,2,9,1
66,IRN,IND,2,1,1,2,1,1,11,16,5,6,16,22,9,8,2,4,2,4,29,38,-5,-1,-6,1,-2,-2,-9,0
